time,mv
00:03.608930,0.018000000000000002
00:03.612840,0.017
00:03.616750,0.016
00:03.620660,0.015
00:03.624570,0.013000000000000001
00:03.628480,0.012
00:03.632390,0.012
00:03.636300,0.011
00:03.640210,0.009000000000000001
00:03.644120,0.009000000000000001
00:03.648030,0.007
00:03.651940,0.005
00:03.655850,0.006
00:03.659760,0.005
00:03.663670,0.005
00:03.667580,0.005
00:03.671490,0.005
00:03.675400,0.005
00:03.679310,0.005
00:03.683220,0.005
00:03.687130,0.004
00:03.691040,0.003
00:03.694950,0.003
00:03.698860,0.004
00:03.702770,0.004
00:03.706680,0.003
00:03.710590,0.003
00:03.714500,0.003
00:03.718410,0.002
00:03.722320,0.002
00:03.726230,0.004
00:03.730140,0.003
00:03.734050,0.002
00:03.737960,0.002
00:03.741870,0.001
00:03.745780,0.001
00:03.749690,0.002
00:03.753600,0.002
00:03.757510,0.002
00:03.761420,0.002
00:03.765330,0.0
00:03.769240,0.0
00:03.773150,0.0
00:03.777060,0.0
00:03.780970,-0.001
00:03.784880,-0.002
00:03.788790,-0.002
00:03.792700,-0.003
00:03.796610,-0.004
00:03.800520,-0.003
00:03.804430,-0.004
00:03.808340,-0.004
00:03.812250,-0.004
00:03.816160,-0.004
00:03.820070,-0.005
00:03.823980,-0.005
00:03.827890,-0.006
00:03.831800,-0.006
00:03.835710,-0.006
00:03.839620,-0.007
00:03.843530,-0.008
00:03.847440,-0.009000000000000001
00:03.851350,-0.008
00:03.855260,-0.008
00:03.859170,-0.008
00:03.863080,-0.007
00:03.866990,-0.007
00:03.870900,-0.006
00:03.874810,-0.007
00:03.878720,-0.007
00:03.882630,-0.008
00:03.886540,-0.009000000000000001
00:03.890450,-0.01
00:03.894360,-0.01
00:03.898270,-0.009000000000000001
00:03.902180,-0.01
00:03.906090,-0.009000000000000001
00:03.910000,-0.009000000000000001
00:03.913910,-0.008
00:03.917820,-0.008
00:03.921730,-0.008
00:03.925640,-0.008
00:03.929550,-0.01
00:03.933460,-0.011
00:03.937370,-0.011
00:03.941280,-0.009000000000000001
00:03.945190,-0.008
00:03.949100,-0.008
00:03.953010,-0.009000000000000001
00:03.956920,-0.009000000000000001
00:03.960830,-0.009000000000000001
00:03.964740,-0.01
00:03.968650,-0.01
00:03.972560,-0.01
00:03.976470,-0.01
00:03.980380,-0.011
00:03.984290,-0.011
00:03.988200,-0.01
